disease,description,home_remedies,medicine_category,consult_if,severity
decubitus ulcer,Pressure sore from prolonged pressure on skin over bony prominences.,Regular repositioning every 2 hours · Pressure-relief mattress · Nutritional support · Skin care,Wound dressings · Debridement · Antibiotics if infected · Surgical reconstruction,"Deep wounds, exposed bone, or wound infection with systemic signs",moderate
sensorineural hearing loss,Permanent inner ear or auditory nerve damage causing partial or complete deafness.,Protect ears from loud noise · Manage underlying conditions · Hearing aid fitting,Hearing aids · Cochlear implant · Corticosteroids (sudden onset) · Treat underlying cause,Sudden hearing loss requires emergency audiological evaluation within 72 hours,moderate
urge incontinence,Sudden strong urge to urinate followed by involuntary urine leakage.,Bladder training · Pelvic floor exercises · Limit caffeine and alcohol · Timed voiding,Anticholinergics · Beta-3 agonists · Botulinum toxin injection · Sacral neuromodulation,Significantly affecting quality of life or associated with blood in urine,mild
vitamin a deficiency,"Insufficient vitamin A causing night blindness, dry eyes and immune weakness.",Orange and yellow vegetables · Dark leafy greens · Liver · Dairy · Eggs,Vitamin A supplementation · Multivitamins · Treat underlying malabsorption,"Night blindness, corneal ulceration, or frequent infections in children",moderate
fracture of the rib,Broken rib causing sharp chest pain worsened by breathing or movement.,Rest · Breathing exercises · Ice pack · Hold pillow against chest when coughing,Analgesics · NSAIDs · Intercostal nerve block · Surgery only if multiple unstable fractures,"Breathing difficulty, suspected pneumothorax, or multiple rib fractures",moderate
alcohol abuse,Pattern of harmful alcohol use causing physical and psychological dependence.,Reduce drinking gradually · Support groups · Healthy diet · Exercise · Counseling,Naltrexone · Acamprosate · Disulfiram · Benzodiazepines · Thiamine supplementation,"Withdrawal symptoms, liver disease, or complete inability to stop drinking",moderate
retinal detachment,Separation of retina from underlying tissue causing vision loss — emergency.,Seek emergency care immediately — sudden vision changes are an emergency,Surgical reattachment · Laser photocoagulation · Cryotherapy · Pneumatic retinopexy,"Immediately — any sudden flashes, floaters, or curtain over vision",severe
dental caries,Tooth decay from bacterial acid erosion of enamel causing pain and cavities.,Brush twice daily · Floss daily · Reduce sugar · Fluoride toothpaste · Regular dental visits,Dental fillings · Root canal · Crown · Tooth extraction · Fluoride treatment,"Severe pain, facial swelling, or fever associated with toothache",mild
polycythemia vera,Bone marrow disorder producing too many red blood cells increasing clot risk.,Adequate hydration · Avoid iron supplements · Regular phlebotomy as directed,Phlebotomy · Hydroxyurea · Aspirin · Ruxolitinib · Interferon-alpha,"Stroke symptoms, blood clot, or blood count becoming very high",severe
folate deficiency,Insufficient folic acid causing megaloblastic anemia and neural tube defects.,Dark leafy greens · Legumes · Citrus fruits · Fortified cereals · Avocado,Folic acid supplements · Folinic acid · Treat underlying malabsorption,"Pregnancy planning, known malabsorption, or hemoglobin falling",mild
atrial flutter,Regular but very fast atrial rhythm causing palpitations and reduced cardiac output.,Avoid caffeine and alcohol · Regular monitoring · Stress reduction · Adequate sleep,Beta blockers · Calcium channel blockers · Anticoagulants · Cardioversion · Ablation,"Chest pain, fainting, breathlessness, or rapid worsening symptoms",severe
tooth disorder,"General dental problems including decay, fracture, and sensitivity.",Brush twice daily · Fluoride toothpaste · Avoid hard foods · Dental wax for sharp edges,Analgesics · Dental fillings · Crown · Extraction · Desensitizing toothpaste,"Severe pain, swelling, fever, or trauma to the jaw",mild
heart attack,Coronary artery blockage causing heart muscle death — life-threatening emergency.,Seek emergency care immediately — call 112 or ambulance immediately,Thrombolytics · Aspirin · Anticoagulants · PCI intervention · Beta blockers,Immediately — this is a life-threatening emergency requiring ambulance,severe
oral thrush (yeast infection),Fungal infection of mouth causing white patches and soreness.,Maintain oral hygiene · Rinse mouth after inhaled steroids · Probiotics · Limit sugar,Clotrimazole troches · Oral fluconazole · Nystatin suspension · Treat underlying cause,"Difficulty swallowing, spreading to throat, or immunocompromised state",mild
orthostatic hypotension,Blood pressure drop on standing causing dizziness and fainting.,Rise slowly from sitting or lying · Increase fluid and salt intake · Compression stockings,Fludrocortisone · Midodrine · Pyridostigmine · Reduce antihypertensive dosage,"Frequent falls, fainting, or associated with neurological symptoms",moderate
obstructive sleep apnea (osa),Repeated upper airway collapse during sleep causing snoring and oxygen drops.,Weight loss · Sleep on side · Elevate head of bed · Avoid alcohol and sedatives,CPAP therapy · Oral mandibular device · Positional therapy · Surgery for anatomical causes,"Excessive daytime sleepiness, witnessed apneas, or morning headaches",moderate
arthritis of the hip,Inflammation or degeneration of hip joint causing pain and restricted movement.,Low-impact exercise · Weight management · Heat or ice therapy · Walking aids,NSAIDs · Analgesics · Corticosteroid injections · Physiotherapy · Hip replacement,"Severe pain limiting walking, night pain, or significant mobility loss",moderate
testicular torsion,Twisting of spermatic cord cutting off blood supply — urological emergency.,Seek emergency care immediately — do not delay for any reason,Emergency surgical detorsion — within 6 hours to save testicle,Immediately — testicular torsion requires emergency surgery within hours,severe
pain disorder affecting the neck,"Persistent neck pain from muscle tension, disc disease or nerve compression.",Neck stretches · Heat or ice · Good posture · Ergonomic workstation · Pillow adjustment,NSAIDs · Muscle relaxants · Physiotherapy · Cervical collar · Nerve block,"Arm weakness, numbness, or inability to control bladder or bowel",mild
acute bronchiolitis,Viral lower respiratory infection in infants causing wheezing and breathing difficulty.,Saline nasal drops · Upright positioning · Small frequent feeds · Humidified air,Oxygen therapy · Bronchodilators · IV fluids · Hypertonic saline nebulization,"Severe respiratory distress, oxygen below 92%, or poor feeding in infant",moderate
dementia,"Progressive cognitive decline affecting memory, thinking and daily functioning.",Mental stimulation · Physical exercise · Social engagement · Structured routine · Safety measures,Donepezil · Memantine · Rivastigmine · Antidepressants · Antipsychotics if needed,"Rapid cognitive decline, behavioral changes, or safety concerns",severe
insect bite,"Skin reaction to insect sting or bite causing local pain, itching and swelling.",Wash with soap and water · Ice pack · Elevate limb · Remove stinger · Baking soda paste,Antihistamines · Topical hydrocortisone · Calamine lotion · Epinephrine if anaphylaxis,"Anaphylaxis symptoms, rapidly spreading redness, or bite from venomous insect",mild
congenital heart defect,Structural heart abnormality present from birth affecting circulation.,Regular cardiac follow-up · Healthy diet · Activity as tolerated · Endocarditis prophylaxis,Depends on defect — surgery · Catheter intervention · Medications · Monitoring,"Breathlessness, cyanosis, poor weight gain, or symptoms in child with known defect",severe
pyogenic skin infection,"Bacterial skin infection causing pus-filled lesions, boils or abscesses.",Warm compress to promote drainage · Keep clean · Avoid squeezing · Good hand hygiene,Topical antibiotics · Oral antibiotics · Incision and drainage · Wound care,"Spreading redness, fever, facial involvement, or recurrent infections",mild
acanthosis nigricans,Dark velvety skin patches in skin folds associated with insulin resistance.,Weight loss · Low glycemic diet · Regular exercise · Blood sugar management,Treat underlying insulin resistance · Metformin · Topical retinoids · Laser therapy,"Rapid onset, associated symptoms of diabetes, or widespread involvement",mild
noninfectious gastroenteritis,Stomach and intestinal inflammation not from infection causing nausea and diarrhea.,BRAT diet · ORS · Rest · Avoid dairy · Ginger tea · Probiotics,Antiemetics · Antidiarrheals · ORS · Antispasmodics · Probiotics,"Severe dehydration, blood in stool, or symptoms beyond 48 hours",mild
benign prostatic hyperplasia (bph),Non-cancerous prostate enlargement causing urinary hesitancy and frequency.,Reduce fluid before bedtime · Limit caffeine and alcohol · Double voiding technique,Alpha blockers · 5-alpha reductase inhibitors · Phosphodiesterase inhibitors · Surgery,"Inability to urinate, recurrent UTI, or kidney involvement",moderate
menopause,"Natural end of menstrual cycles causing hot flashes, mood changes and dryness.",Regular exercise · Healthy diet · Stress management · Cool environment · Phytoestrogens,HRT · Selective estrogen receptor modulators · SSRIs for mood · Vaginal estrogen,Severe symptoms significantly affecting quality of life or early menopause before 40,mild
ovarian cancer,Malignant ovarian tumor often detected late requiring specialist oncology care.,Seek specialist care immediately — healthy diet · Support groups,Surgery · Platinum-based chemotherapy · PARP inhibitors · Targeted therapy,Always requires immediate gynecology oncology specialist evaluation,severe
cataract,Clouding of eye lens causing progressive vision blurring and glare sensitivity.,UV-protective sunglasses · Adequate lighting · Anti-glare glasses · Regular eye exams,Surgical phacoemulsification with intraocular lens implant · Glasses prescription,Significant vision affecting daily activities or driving,mild
spinal stenosis,Narrowing of spinal canal compressing nerves causing leg pain and weakness.,Walking · Cycling · Core strengthening · Flexion exercises · Weight management,NSAIDs · Epidural steroid injections · Physiotherapy · Surgical decompression,"Progressive leg weakness, bladder or bowel dysfunction, or inability to walk",moderate
intestinal obstruction,Blockage preventing food and gas from passing through intestines — often an emergency.,Seek emergency care immediately — medical emergency,IV fluids · Nasogastric decompression · Surgical relief of obstruction · Antibiotics,Immediately — intestinal obstruction requires urgent hospital assessment,severe
peripheral nerve disorder,"Damage to peripheral nerves causing numbness, tingling, weakness or pain.",Manage underlying cause · Foot care · Regular exercise · B vitamin-rich diet,B vitamins · Alpha lipoic acid · Gabapentin · Pregabalin · Amitriptyline,"Progressive weakness, autonomic symptoms, or rapid onset neuropathy",moderate
neurosis,"Mild mental health condition causing anxiety, obsessions or phobias without psychosis.",Regular exercise · Mindfulness · Social connection · Journaling · CBT therapy,SSRIs · Benzodiazepines (short term) · Buspirone · Psychotherapy · Beta blockers,Symptoms significantly impairing daily function or escalating in severity,mild
cerebral edema,Brain swelling causing increased intracranial pressure — medical emergency.,Seek emergency care immediately,Mannitol · Hypertonic saline · Corticosteroids · Hyperventilation · Surgery,Immediately — cerebral edema is a life-threatening neurological emergency,severe
hematoma,Localized collection of clotted blood outside blood vessel causing swelling and pain.,Ice pack · Rest · Elevation · Compression · Avoid aspirin,Analgesics · NSAIDs · Surgical drainage for large hematomas · Physiotherapy,"Rapidly expanding hematoma, intracranial symptoms, or signs of compartment syndrome",mild
seborrheic keratosis,Benign waxy skin growths that appear with aging — not cancerous.,No treatment required · Sun protection · Avoid picking or irritating lesions,Cryotherapy · Laser removal · Electrosurgery · Curettage — cosmetic only,"Rapidly changing appearance, bleeding, or uncertainty about diagnosis",mild
spontaneous abortion,Natural pregnancy loss before 20 weeks — both physical and emotional support needed.,Rest · Adequate hydration · Emotional support · Avoid strenuous activity · Grief counseling,Misoprostol · Surgical evacuation (D&C) · Rhesus prophylaxis · Progesterone support,"Heavy bleeding, signs of infection, or incomplete miscarriage",moderate
adjustment reaction,Short-term emotional disturbance in response to identifiable stressor.,Talk therapy · Social support · Physical activity · Journaling · Stress management,Short-term anxiolytics · SSRIs · CBT · Crisis counseling,"Prolonged duration, suicidal thoughts, or inability to function",mild
lichen planus,Inflammatory condition causing purple itchy flat-topped bumps on skin or mucosa.,Avoid triggers · Oatmeal baths · Stress management · Gentle oral hygiene,Topical corticosteroids · Oral steroids · Retinoids · Antihistamines · Tacrolimus,"Oral lesions not healing, malignant transformation risk, or widespread involvement",mild
dyshidrosis,Small itchy blisters on palms and soles from vesicular eczema.,Cool compress · Gentle moisturizing · Avoid irritants and allergens · Stress reduction,Topical corticosteroids · Antihistamines · Tacrolimus · Phototherapy · Botulinum toxin,"Spreading infection, severely affecting hand function, or recurrent episodes",mild
diaper rash,"Skin irritation in diaper area from moisture, friction and contact with waste.",Frequent diaper changes · Air exposure · Barrier cream · Gentle cleaning,Zinc oxide cream · Antifungal cream if candida · Mild topical steroid · Petroleum jelly,"Bright red rash with satellite lesions, fever, or pus-filled spots",mild
contact dermatitis,Skin inflammation from direct contact with irritant or allergen.,Identify and avoid trigger · Cool compress · Calamine lotion · Oatmeal bath,Topical corticosteroids · Antihistamines · Moisturizers · Oral steroids if severe,"Facial involvement, blistering over large area, or severe symptoms",mild
sinus bradycardia,Slow heart rate below 60 bpm from sinus node — may be normal or pathological.,Regular monitoring · Avoid excessive vagal maneuvers · Stay hydrated · Regular exercise,Atropine (symptomatic) · Pacemaker (permanent symptomatic) · Treat underlying cause,"Fainting, chest pain, breathlessness, or heart rate below 40 at rest",moderate
tic (movement) disorder,Repetitive involuntary movements or vocalizations affecting children and adults.,Reduce stress · Adequate sleep · Habit reversal training · Avoid stimulant exposure,Clonidine · Guanfacine · Fluphenazine · Topiramate · Behavioral therapy,"Tics causing significant social impairment, self-injury, or worsening rapidly",mild
brachial neuritis,Sudden severe shoulder and arm pain from brachial plexus inflammation.,Rest arm · Pain relief · Gradual physiotherapy as pain subsides · Heat therapy,NSAIDs · Corticosteroids · Gabapentin · Physiotherapy · Pain management,No improvement after 4 weeks or progressive weakness,moderate
cervical cancer,Malignant tumor of cervix often from HPV requiring specialist oncology care.,Seek specialist care immediately — HPV vaccination preventive · Regular Pap smears,Surgery · Radiation · Chemotherapy · Targeted therapy · Brachytherapy,Always requires immediate gynecology oncology specialist evaluation,severe
esophagitis,Inflammation of esophagus lining causing painful swallowing and heartburn.,Small soft meals · Avoid spicy and acidic foods · No late meals · Elevate head of bed,PPIs · H2 blockers · Antacids · Antifungals if candidal · Corticosteroids if eosinophilic,"Difficulty swallowing, vomiting blood, or weight loss",mild
yeast infection,"Candida fungal overgrowth causing itching, discharge and discomfort.",Probiotics · Avoid tight synthetic clothing · Keep area dry · Limit sugar intake,Topical clotrimazole · Oral fluconazole · Boric acid suppositories · Antifungal creams,"Recurrent infections, pregnancy, or first time to confirm diagnosis",mild
drug poisoning due to medication,Accidental or intentional overdose of medication causing toxicity.,Seek emergency care immediately — call poison control or ambulance,Activated charcoal · Specific antidotes · Supportive care · IV fluids · Dialysis,Always seek emergency care for any suspected medication overdose,severe
alcoholic liver disease,Liver damage from chronic heavy alcohol consumption progressing to cirrhosis.,Stop alcohol completely · Nutritious diet · Vitamin B supplementation · Adequate rest,Corticosteroids · Pentoxifylline · Nutritional support · Liver transplant evaluation,"Jaundice, ascites, confusion, or vomiting blood",severe
diverticulitis,Inflammation or infection of diverticular pouches in colon causing abdominal pain.,Low fiber diet during acute episode · Rest · Clear liquids · Gradual return to high fiber,Antibiotics · Analgesics · IV fluids if severe · Surgical resection for complications,"High fever, severe pain, peritonitis signs, or inability to tolerate fluids",moderate
heat exhaustion,"Heat-related illness with heavy sweating, weakness and nausea — precursor to heat stroke.",Move to cool area · Cool wet cloths · ORS · Rest · Elevate legs,ORS · IV fluids if unable to drink · Antipyretics · Cooling measures,"If heat stroke suspected, altered consciousness, or not improving within 30 minutes",moderate
psychotic disorder,Mental illness involving loss of contact with reality including hallucinations.,Safe environment · Structured routine · Family support · Avoid stress and substances,Antipsychotics · Mood stabilizers · Depot injections · CBT · Psychosocial rehabilitation,"Acute psychosis, self-harm, violence risk, or inability to care for self",severe
frostbite,Tissue freezing injury from extreme cold causing numbness and tissue damage.,Warm affected area gradually · Warm water immersion · Remove wet clothing · Do not rub,Analgesics · Vasodilators · Anticoagulants · Wound care · Surgery for severe cases,"Any suspected frostbite beyond superficial, blistering, or black tissue",moderate
essential tremor,Involuntary rhythmic shaking most commonly affecting hands during movement.,Reduce caffeine · Adequate sleep · Stress management · Physical therapy · Support groups,Propranolol · Primidone · Gabapentin · Topiramate · Deep brain stimulation if severe,Tremor interfering with daily activities or rapidly worsening,mild
idiopathic painful menstruation,Severe menstrual cramps without obvious underlying cause affecting quality of life.,Heat pad on abdomen · Exercise · Omega-3 foods · Ginger tea · Magnesium-rich foods,NSAIDs · Combined oral contraceptives · Antispasmodics · GnRH agonists,Severe pain not responding to NSAIDs or pain worsening over years,mild
pneumothorax,Collapsed lung from air entering pleural space causing chest pain and breathlessness.,Seek emergency care immediately,Oxygen · Needle decompression · Chest drain · Surgery for recurrence,Any suspected pneumothorax is a medical emergency,severe
fracture of the vertebra,Broken vertebra usually from osteoporosis or trauma causing back pain.,Rest · Ice pack · No heavy lifting · Pain management · Avoid bending and twisting,Analgesics · Bracing · Vertebroplasty · Kyphoplasty · Surgery for instability,"Neurological symptoms, severe pain, or multiple fractures",severe
human immunodeficiency virus infection (hiv),Viral infection attacking immune system requiring lifelong antiretroviral therapy.,Regular medical follow-up · Healthy diet · Regular exercise · Avoid infections · Safe sex,Antiretroviral therapy (ART) · Prophylactic antibiotics · Vaccinations · Supportive care,Always requires specialist infectious disease management — lifelong treatment,severe
mumps,Viral infection causing painful swelling of salivary glands and fever.,Rest · Soft diet · Warm or cold compresses on swollen glands · Hydration,Analgesics · Antipyretics · Supportive care · Scrotal support if orchitis,"Testicular pain, severe headache, hearing loss, or abdominal pain",mild
subarachnoid hemorrhage,Bleeding into subarachnoid space causing sudden severe thunderclap headache.,Seek emergency care immediately,Nimodipine · Surgical clipping · Endovascular coiling · ICU monitoring · Supportive care,Immediately — worst headache of life is a neurological emergency,severe
lactose intolerance,"Inability to digest lactose causing bloating, gas and diarrhea after dairy.",Avoid or limit dairy · Lactase enzyme before dairy · Plant-based milk alternatives,Lactase enzyme supplements · Probiotics · Calcium supplements · Lactose-free products,Severe symptoms significantly affecting nutrition or weight loss,mild
ankylosing spondylitis,Inflammatory arthritis primarily affecting spine causing back pain and stiffness.,Regular exercise · Swimming · Posture exercises · Anti-inflammatory diet · Quit smoking,NSAIDs · DMARDs · Biologics (TNF and IL-17 inhibitors) · Physiotherapy,"Severe spine stiffness, hip involvement, or eye inflammation",moderate
birth trauma,"Injury to infant during birth process causing bruising, nerve or bone damage.",Gentle positioning · Physiotherapy referral · Monitor neurological development,Physiotherapy · Occupational therapy · Analgesics · Surgery for fractures,"Persistent weakness, no improvement in movement, or developmental delay",moderate
male genitalia infection,Bacterial or fungal infection of male genital area causing itching and discharge.,Good hygiene · Keep area dry · Cotton underwear · Avoid irritants,Antibiotics · Antifungals · Topical antiseptics · Partner treatment if STI,"Spreading infection, fever, penile discharge, or suspected STI",mild
hpv,Human papillomavirus infection causing genital warts and cervical cancer risk.,Safe sex · HPV vaccination · Regular cervical screening · Boost immunity,Topical treatments for warts · Cryotherapy · Laser · Immunomodulators · No cure for virus,"Persistent warts, abnormal Pap smear, or immunocompromised state",mild
nasal polyp,Soft noncancerous growths in nasal passages causing congestion and loss of smell.,Saline nasal rinse · Avoid allergens · Nasal corticosteroid spray · Treat allergies,Nasal corticosteroids · Oral steroids · Biologic therapy · Endoscopic sinus surgery,"Complete nasal obstruction, severe headache, or vision changes",mild
acariasis,"Infestation by mites causing skin itching, rashes and dermatitis.",Wash all bedding in hot water · Clean environment · Avoid sharing bedding · HEPA filter,Permethrin cream · Ivermectin · Antihistamines · Topical corticosteroids,"Widespread infestation, secondary bacterial infection, or household spread",mild
skin pigmentation disorder,Abnormal skin coloration from excess or deficient melanin production.,Sun protection · Vitamin C serum · Avoid skin trauma · Regular dermatology review,Hydroquinone · Retinoids · Azelaic acid · Laser therapy · Chemical peels,"Rapid change in lesion, associated systemic symptoms, or uncertain diagnosis",mild
toxoplasmosis,Parasitic infection from Toxoplasma gondii causing flu-like illness or brain infection.,Avoid raw meat · Wash hands after gardening · Pregnant women avoid cat litter,Pyrimethamine · Sulfadiazine · Folinic acid · Spiramycin in pregnancy,"Immunocompromised state, pregnancy with primary infection, or neurological symptoms",moderate
open wound of the hand,Laceration or traumatic wound of hand requiring wound care and tetanus prevention.,Clean with clean water · Apply pressure to stop bleeding · Cover with clean cloth,Wound cleaning · Suturing · Tetanus prophylaxis · Antibiotics · Analgesics,"Deep wounds, tendon exposure, persistent bleeding, or signs of infection",moderate
soft tissue sarcoma,Rare malignant tumor of soft tissues requiring specialist oncology care.,Seek specialist care immediately — nutritional support,Surgery · Radiation · Chemotherapy · Targeted therapy · Immunotherapy,Always requires immediate surgical oncology specialist evaluation,severe
avascular necrosis,Death of bone tissue from disrupted blood supply causing joint collapse.,Reduce weight bearing · Avoid alcohol · Quit smoking · Physical therapy,NSAIDs · Bisphosphonates · Core decompression · Bone grafting · Joint replacement,"Progressive pain, joint collapse, or inability to ambulate",severe
rheumatic fever,"Inflammatory complication of strep throat affecting heart, joints and skin.",Complete antibiotic course · Rest · Anti-inflammatory diet · Regular cardiac monitoring,Antibiotics · Aspirin · NSAIDs · Corticosteroids · Prophylactic penicillin,"Heart murmur, chest pain, or neurological symptoms after strep infection",severe
aphthous ulcer,Painful mouth ulcer on soft oral mucosa causing eating and talking difficulty.,Rinse with salt water · Honey application · Avoid acidic and spicy foods · Vitamin B12,Topical corticosteroids · Topical anesthetics · Antimicrobial mouthwash · Vitamin B12,"Ulcers larger than 1cm, lasting more than 3 weeks, or multiple recurring ulcers",mild
rocky mountain spotted fever,"Serious tick-borne bacterial disease causing fever, headache and characteristic rash.",Seek emergency care immediately — early treatment is critical,Doxycycline (antibiotic of choice) · Supportive hospital care,Any suspected case requires immediate antibiotic treatment — delay is dangerous,severe
acute stress reaction,Immediate psychological response to traumatic event causing dissociation and distress.,Calm safe environment · Grounding techniques · Social support · Rest · Counseling,Short-term anxiolytics · SSRIs · Crisis counseling · Trauma-focused CBT,"Symptoms lasting more than 1 month, suicidal thoughts, or inability to function",mild
hemangioma,Benign blood vessel tumor causing red birthmark on skin or internal organs.,Monitor as per specialist advice · Sun protection for skin hemangiomas,Propranolol (infantile) · Timolol · Corticosteroids · Laser therapy · Surgery,"Rapidly growing, bleeding, interfering with vision or airway, or ulcerated",mild
rhabdomyolysis,Muscle breakdown releasing myoglobin into bloodstream causing kidney damage.,Seek emergency care immediately — aggressive IV hydration is critical,IV fluids · Monitoring electrolytes · Dialysis if kidney failure · Treat underlying cause,Immediately — rhabdomyolysis can cause rapid kidney failure without treatment,severe
necrotizing fasciitis,Rapidly spreading bacterial infection destroying fascia — surgical emergency.,Seek emergency care immediately,Emergency surgical debridement · IV antibiotics · ICU care · Skin grafting,Immediately — necrotizing fasciitis is rapidly fatal without emergency surgery,severe
bladder obstruction,Blockage preventing urine from leaving bladder causing severe urinary retention.,Seek emergency care immediately for acute retention · Avoid bladder irritants,Catheterization · Alpha blockers · Surgery · Treat underlying BPH or stricture,"Inability to urinate, severe lower abdominal pain, or known bladder condition",severe
asperger syndrome,Neurodevelopmental condition on autism spectrum affecting social interaction.,Structured routine · Social skills training · Sensory accommodations · Supportive schooling,SSRIs for anxiety · Stimulants for ADHD features · Risperidone · Speech therapy,"Severe anxiety, self-harm, or significant social and academic impairment",moderate
white blood cell disease,Disorders of white blood cell production or function affecting immune system.,Infection prevention · Nutrition optimization · Avoid exposure to sick individuals,Depends on type — growth factors · Chemotherapy · Bone marrow transplant · Immunotherapy,"Recurrent severe infections, unexplained fever, or lymph node enlargement",severe
pseudotumor cerebri,Increased intracranial pressure without brain tumor causing headache and vision problems.,Weight loss · Elevate head of bed · Low sodium diet · Regular neurological monitoring,Acetazolamide · Furosemide · Topiramate · Optic nerve sheath fenestration · LP shunting,"Visual field loss, papilledema worsening, or uncontrolled headache",moderate
open wound of the nose,Laceration or traumatic wound of nose requiring wound care and infection prevention.,Apply pressure to stop bleeding · Clean with clean water · Cover wound,Wound cleaning · Suturing · Tetanus prophylaxis · Antibiotics · Nasal packing if needed,"Heavy uncontrolled bleeding, septal involvement, or fracture suspected",mild
